avgHeartRate,totalSteps,recordCount,fall_risk_label
102.4,12,415,1
68.5,450,112,0
98.1,35,280,1
72.4,520,85,0
105.7,28,310,1
88.2,145,190,0
96.4,85,420,1
75.1,380,145,0
112.5,42,485,1
82.3,210,225,0
99.8,15,350,1
70.8,615,105,0
108.4,22,295,1
85.6,180,175,0
97.2,75,440,1
73.4,540,92,0
101.2,30,312,1
89.5,155,205,0
96.1,90,405,1
76.8,320,135,0
110.2,18,475,1
81.4,230,240,0
98.7,45,330,1
69.2,590,118,0
104.5,25,305,1
84.1,195,185,0
95.8,82,415,1
74.2,490,152,0
109.1,35,465,1
83.7,215,220,0
99.4,12,380,1
71.5,560,98,0
107.8,20,290,1
86.4,170,195,0
96.9,88,435,1
75.5,350,128,0
111.4,15,492,1
80.2,250,235,0
97.5,40,325,1
68.1,625,110,0
103.8,22,315,1
84.8,188,180,0
95.2,78,408,1
72.1,510,148,0
108.7,48,460,1
82.5,225,215,0
100.2,10,395,1
70.4,585,102,0
106.3,28,285,1
87.1,160,200,0
96.5,92,425,1
76.2,340,132,0
113.1,12,498,1
79.8,260,245,0
98.2,38,340,1
67.5,640,115,0
105.1,18,322,1
85.2,182,192,0
95.5,85,412,1
71.8,505,155,0
109.5,45,455,1
81.2,235,225,0
99.1,8,385,1
73.1,555,108,0
107.2,25,298,1
88.8,150,210,0
96.2,72,445,1
74.8,365,140,0
112.1,20,488,1
80.5,245,250,0
97.8,42,345,1
68.8,610,120,0
104.2,30,318,1
84.5,190,188,0
95.1,95,418,1
72.5,515,160,0
108.2,38,462,1
83.1,220,230,0
100.5,15,402,1
70.1,570,112,0
106.8,22,275,1
86.1,175,215,0
96.8,80,452,1
75.2,375,145,0
110.8,12,482,1
81.8,228,255,0
98.5,48,355,1
69.5,595,125,0
105.4,28,325,1
85.8,185,195,0
95.9,88,422,1
73.8,495,165,0
109.8,32,448,1
82.1,240,235,0
99.5,10,390,1
71.2,565,115,0
107.5,24,302,1
87.5,145,220,0
96.3,78,458,1
74.5,385,148,0
111.5,18,472,1
80.8,255,260,0
97.2,46,360,1
68.4,630,128,0
104.8,32,310,1
84.2,192,198,0
95.4,92,428,1
72.8,508,172,0
108.5,40,468,1
83.4,210,240,0
100.8,12,408,1
70.5,575,118,0
106.1,26,282,1
86.8,168,225,0
96.5,85,465,1
75.8,355,152,0
110.1,15,478,1
81.5,232,265,0
98.8,42,365,1
69.8,605,130,0
105.7,35,328,1
85.5,178,205,0
95.1,98,432,1
74.2,525,175,0
109.2,38,452,1
82.8,225,245,0
99.7,14,398,1
71.9,550,122,0
107.1,28,308,1
87.2,158,230,0
96.7,82,472,1
75.1,392,155,0
111.8,20,485,1
80.2,262,270,0
97.5,45,372,1
68.1,645,135,0
103.5,38,332,1
84.1,198,210,0
95.8,75,438,1
73.5,535,178,0
108.8,42,458,1
83.5,218,250,0
100.1,18,412,1
70.8,580,128,0
106.5,30,288,1
86.5,172,235,0
96.2,95,478,1
76.5,345,158,0
111.1,12,492,1
81.1,245,275,0
98.2,35,378,1
69.2,620,138,0
104.2,32,338,1
85.2,185,215,0
95.5,90,442,1
74.8,515,182,0
109.5,48,465,1
82.2,230,255,0
99.4,15,415,1
71.2,560,132,0
107.8,26,312,1
87.8,152,240,0
96.9,88,485,1
75.5,380,162,0
112.5,22,488,1
80.5,258,280,0
97.1,40,385,1
68.5,635,142,0
105.1,28,342,1
84.5,192,220,0
95.2,82,448,1
72.5,540,185,0
108.2,32,472,1
83.8,212,260,0
100.5,10,418,1
70.2,595,135,0
106.8,35,292,1
86.2,165,245,0
96.5,78,492,1
76.2,330,165,0
110.5,18,495,1
81.8,238,285,0
98.5,45,390,1
69.5,610,145,0
105.4,30,348,1
85.8,178,225,0
95.9,92,455,1
73.2,522,188,0
109.8,40,475,1
82.5,222,265,0
99.8,12,422,1
71.5,572,138,0
107.2,22,318,1
87.5,148,250,0
96.3,85,498,1
74.5,395,168,0
111.5,14,500,1
80.8,265,290,0
97.4,48,395,1
68.8,625,148,0
104.8,26,352,1
84.2,195,228,0
95.4,95,462,1
72.8,512,192,0
108.5,35,478,1
83.4,228,270,0
100.2,18,425,1
70.5,582,142,0
106.1,32,295,1
86.8,162,255,0
96.8,80,500,1
75.8,360,172,0
110.1,20,500,1
81.5,242,295,0
98.8,38,402,1
69.8,602,152,0
105.7,24,358,1
85.5,188,232,0
95.1,88,468,1
74.2,530,195,0
109.2,32,482,1
82.8,235,275,0
99.7,12,428,1
71.9,568,145,0
107.1,26,322,1
87.2,155,260,0
96.7,85,500,1
75.1,385,175,0
111.8,15,500,1
80.2,270,300,0
97.5,42,408,1
68.1,650,155,0
103.5,35,362,1
84.1,182,235,0
95.8,82,475,1
73.5,545,198,0
108.8,38,485,1
83.5,225,280,0
100.1,14,432,1
70.8,590,148,0
106.5,28,302,1
86.5,175,265,0
96.2,92,500,1
76.5,352,178,0
111.1,18,500,1
81.1,238,305,0
98.2,45,412,1
69.2,615,158,0
104.2,30,368,1
85.2,192,240,0
95.5,85,482,1
74.8,520,202,0
109.5,35,488,1
82.2,242,285,0
99.4,12,435,1
71.2,578,152,0
107.8,24,325,1
87.8,162,270,0
96.9,80,500,1
75.5,378,182,0
112.5,15,500,1
80.5,262,310,0
97.1,42,415,1
68.5,640,162,0
105.1,22,372,1
84.5,188,245,0
95.2,88,488,1
72.5,535,205,0
108.2,38,492,1
83.8,228,290,0
100.5,14,438,1
70.2,605,155,0
106.8,26,308,1
86.2,168,275,0
96.5,82,500,1
76.2,365,185,0
110.5,12,500,1
81.8,255,315,0
98.5,48,418,1
69.5,622,165,0
105.4,32,375,1
85.8,185,250,0
95.9,95,492,1
73.2,528,208,0
109.8,42,495,1
82.5,232,295,0
99.8,15,442,1
71.5,585,158,0
107.2,28,328,1
87.5,165,280,0
96.3,80,500,1
74.5,382,188,0
111.5,18,500,1
80.8,268,320,0
97.4,45,422,1
68.8,635,168,0
104.8,30,378,1
84.2,182,255,0
95.4,85,495,1
72.8,542,212,0
108.5,38,498,1
83.4,240,300,0
100.2,12,445,1
70.5,592,162,0
106.1,25,312,1
86.8,172,285,0
96.8,82,500,1
75.8,372,192,0
110.1,15,500,1
81.5,248,325,0
98.8,42,425,1
69.8,612,172,0
105.7,28,382,1
